customer_id,number_of_orders,Days in firstorder,Days in second_order,Days in third_order,Days in lastorder,days_since_last_order,average_ind_order_frequency,stages,stages_week_overtime,City,internalData__segmentation,final_group_median,group_avg_no_zeros,stages_by_groups,internalData__gender,average_order_frequency,female,days_since_firstorder,churn_group,berlin,churn_ind
569c1a19d4cde861479a3efa,1,1/17/2016,NA,NA,1/17/2016,43,0,Stage 3,Stage 3,London,DCLA,32,32,Stage 3,male,37.77453581,0,43,0,0,0
56ac86ead2cde8e06accec43,1,1/30/2016,NA,NA,1/30/2016,30,0,Stage 1A,Stage 1A,London,DC,47,47,Stage 1A,male,65.92079208,0,30,0,0,0
56ac8ef1d4cde8e8791a6be1,1,1/30/2016,NA,NA,1/30/2016,30,0,Stage 1A,Stage 1A,London,DC,47,47,Stage 1A,male,65.92079208,0,30,0,0,0
56bdb9d1d2cde83c09576e98,1,2/12/2016,NA,NA,2/12/2016,17,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,17,0,0,0
56bef2ded3cde8ec23c438d7,1,2/13/2016,NA,NA,2/13/2016,16,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,16,0,0,0
56bf4183d2cde8252816d5b9,1,2/13/2016,NA,NA,2/13/2016,16,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,16,0,0,0
56bf7735d4cde85c71513b06,1,2/13/2016,NA,NA,2/13/2016,16,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,16,0,0,0
56c04815d4cde80b61513ae2,1,2/14/2016,NA,NA,2/14/2016,15,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,15,0,0,0
56c5d517d2cde84b2eddad33,1,2/18/2016,NA,NA,2/18/2016,11,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,11,0,0,0
56c62a6ed4cde86a6241af45,1,2/18/2016,NA,NA,2/18/2016,11,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,11,0,0,0
56c707d6d2cde85a75ddad28,1,2/19/2016,NA,NA,2/19/2016,10,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,10,0,0,0
56ca4e19d3cde8330625c44b,1,2/21/2016,NA,NA,2/21/2016,8,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,8,0,0,0
56cc9d5ad3cde8317925c423,1,2/23/2016,NA,NA,2/23/2016,6,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,6,0,0,0
56ccbb38d2cde8e545ddae44,1,2/23/2016,NA,NA,2/23/2016,6,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,6,0,0,0
56ccceebd3cde89b6f25c503,1,2/23/2016,NA,NA,2/23/2016,6,0,Stage 1A,Stage 1A,London,DC,47,47,Stage 1A,female,59.63103448,1,6,0,0,0
56cdeb65d4cde8c879b341ed,1,2/24/2016,NA,NA,2/24/2016,5,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,5,0,0,0
56ce2158d4cde82d39b34219,1,2/24/2016,NA,NA,2/24/2016,5,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,5,0,0,0
56ce2901d2cde82b0537cbf0,1,2/24/2016,NA,NA,2/24/2016,5,0,Stage 1A,Stage 1A,London,NA,32,32,Stage 1A,NA,50.32809917,NA,5,0,0,0
54cec2c3d2cde87b15c48040,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54cf29c0d3cde8a16b7d411b,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54cf42fdd2cde8f115c4808d,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54cf47b0d2cde82414c480fd,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54cf5b31d2cde8e05ac48034,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54cfaf81d3cde80c07beedba,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54cfc44fd3cde81e541736ba,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
54cfd4a7d2cde8cc513ef003,1,2/2/2015,NA,NA,2/2/2015,392,0,Stage 3,Stage 3,London,NA,32,32,Stage 3,NA,50.32809917,NA,392,1,0,1
